# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Textures\mario.png	255	255	255
10	Textures\enemies.png	0	128	128
20	Textures\tiles.png	224	163	216
30	Textures\misc.png	176	224	248
40	Textures\hud.png	255	0	255
50	Textures\roulette.png	0	183	239

# id	left	top	right	bottom	texture_id
[SPRITES]
# idle left, normal
1410	5	154	21	182	0
# slide right, super
1411	425	154	441	182	0
# slide left, raccoon
1420	5	633	21	663	0
# slide right, racoon
1421	425	633	441	663	0
# slide left, fire
1430	5	394	21	422	0
# slide right, fire
1431	425	394	441	422	0

# crouch left, super
1510	6	239	20	257	0
# crouch right, super
1511	426	239	440	257	0
# crouch left, raccoon
1520	2	719	24	737	0
# crouch right, raccoon
1521	422	719	444	737	0
# crouch left, fire
1530	6	479	20	497	0
# crouch right, fire
1531	426	479	440	497	0

# attack1, raccoon
1620	215	633	231	662	0
# attack2, raccoon
1621	215	674	231	702	0
# attack left, fire
16300	96	474	110	501	0
16301	66	474	80	501	0
16302	36	474	50	501	0
# attack right, fire
16310	336	474	350	501	0
16311	366	474	380	501	0
16312	396	474	410	501	0

# fly left
17200	91	714	115	741	0
17201	61	714	85	742	0
17202	61	754	85	781	0
# fly right
17210	331	714	355	741	0
17211	361	714	385	742	0
17212	361	754	385	781	0

# death
1800	215	120	231	136	0

# warping/emerging (normal, super, fire)
1900	216	0	230	15	0
1910	215	154	231	181	0
1930	215	394	231	421	0

# GAME OBJECTS
# BLOCK
# wood block
2000	1004	18	1020	34	20
# gold block
2200	1038	1	1054	17	20
2210	1055	1	1071	17	20
2220	1072	1	1088	17	20
2230	1089	1	1105	17	20
# p switch
2500	1174	69	1190	85	20
2501	1225	69	1241	85	20
# power block
2100	1140	35	1156	51	20
2110	1157	35	1173	51	20
2120	1174	35	1190	51	20
2130	1191	35	1207	51	20
# used power block
2101	1208	1	1224	17	20
# cloud block
2400	698	1	714	17	20

# pipe (topleft, topright, left, right)
# overworld
3200	1	205	17	221	20
3201	18	205	34	221	20
3202	1	222	17	238	20
3203	18	222	34	238	20
# underworld
3204	1	69	17	85	20
3205	18	69	34	85	20
3206	1	86	17	102	20
3207	18	86	34	102	20

# wood platform (topleft, topmid, topright, left, mid, right)
3000	443	154	459	170	20
3001	460	154	476	170	20
3002	477	154	493	170	20
3010	443	171	459	187	20
3011	460	171	476	187	20
3012	477	171	493	187	20
# background platforms (topleft, topmid, topright, left, mid, right, botleft, botmid, botright)
# pink
3100	919	137	935	153	20
3101	936	137	952	153	20
3102	953	137	969	153	20
3103	919	154	935	170	20
3104	936	154	952	170	20
3105	953	154	969	170	20
3106	919	171	935	187	20
3107	936	171	952	187	20
3108	953	171	969	187	20
# blue
3110	970	137	986	153	20
3111	987	137	1003	153	20
3112	1004	137	1020	153	20
3113	970	154	986	170	20
3114	987	154	1003	170	20
3115	1004	154	1020	170	20
3116	970	171	986	187	20
3117	987	171	1003	187	20
3118	1004	171	1020	187	20
# green
3120	919	188	935	204	20
3121	936	188	952	204	20
3122	953	188	969	204	20
3123	919	205	935	221	20
3124	936	205	952	221	20
3125	953	205	969	221	20
3126	919	222	935	238	20
3127	936	222	952	238	20
3128	953	222	969	238	20
# white
3130	970	188	986	204	20
3131	987	188	1003	204	20
3132	1004	188	1020	204	20
3133	970	205	986	221	20
3134	987	205	1003	221	20
3135	1004	205	1020	221	20
3136	970	222	986	238	20
3137	987	222	1003	238	20
3138	1004	222	1020	238	20

#fireball left
5000	198	554	206	562	0
5001	180	553	188	562	0
5002	180	574	188	582	0
5003	198	573	206	582	0
#fireball right
5010	240	554	248	562	0
5011	258	553	266	562	0
5012	258	574	266	582	0
5013	240	573	248	582	0

# coin
7000	953	69	969	85	20
7001	970	69	986	85	20
7002	987	69	1003	85	20

# mushroom
7003	300	189	316	205	30

# leaf
7004	300	208	316	222	30

# 1up mushroom
7005	318	189	334	205	30

#BACKGROUND OBJECTS
# vegetation
# shrub (topleft, topright, left, right, mid, leftinlay, rightinlay)
4100	307	307	323	323	20
4101	324	307	340	323	20
4102	307	324	323	340	20
4103	324	324	340	340	20
4104	341	324	357	340	20
4105	307	341	323	357	20
4106	324	341	340	357	20
#bush
4107	375	324	391	340	20

# cloud (topleft, topmid, topright, botleft, botmid, botright)
4000	715	1	731	17	20
4001	732	1	748	17	20
4002	749	1	765	17	20
4003	715	18	731	34	20
4004	732	18	748	34	20
4005	749	18	765	34	20

# finish area border
6000	698	86	714	102	20

# finish area background
6001	698	35	714	51	20

# finish area shrubs (topleft, topright, left. right)
6100	715	69	731	85	20
6101	732	69	748	85	20
6102	715	86	731	102	20
6103	732	86	748	102	20

#ENEMIES
# goomba, walk
20000	239	108	255	124	10
20001	256	108	272	124	10
# goomba, flattened
20002	222	115	238	124	10
# paragoomba, walk
20003	435	58	454	77	10
20004	456	58	476	77	10
# paragoomba, fly
20005	393	53	413	77	10
20006	414	53	433	77	10

# koopa, walk left
21000	222	192	238	218	10
21010	205	191	221	218	10
# koopa, walk right
21001	170	192	186	218	10
21011	187	191	202	218	10
# koopa, dormant
21002	239	202	255	218	10
# koopa, pinball
21003	256	202	272	218	10
21013	273	202	289	218	10
21023	290	202	305	218	10
# koopa, death
21004	152	202	168	218	10
# koopa paratroopa, fly left
21005	205	248	221	276	10
21015	222	250	238	276	10
# koopa paratroopa, fly right
21006	324	248	340	276	10
21016	307	250	323	276	10

# piranha plant, upwards
22000	358	92	374	123	10
# piranha plant, bite
22001	342	91	356	123	10
# piranha plant, left
22002	273	91	289	123	10
# piranha plant, right
22003	290	91	306	123	10

# HUD sprites
50	33	32	41	39	40
51	43	32	51	39	40
52	53	32	61	39	40
53	63	32	71	39	40
54	73	32	81	39	40
55	83	32	91	39	40
56	93	32	101	39	40
57	103	32	111	39	40
58	113	32	121	39	40
59	123	32	131	39	40
60	3	33	11	40	40
61	12	33	27	40	40
62	163	33	187	61	40
63	187	33	211	61	40
64	211	33	235	61	40
65	235	33	259	61	40
66	3	3	155	31	40
67	220	107	236	123	40

# ROULETTE
# mushroom
50000	435	347	461	373	50
# mushroom, activated
50001	257	373	273	389	50
50002	316	375	332	390	50
# mushroom card
50003	278	394	294	410	50
# flower
50004	407	347	433	373	50
# flower, activated
50005	277	374	293	390	50
50006	329	375	344	391	50
# flower card
50007	260	394	276	410	50
# star
50008	379	347	405	373	50
# star, activated
50009	297	373	313	389	50
50010	344	374	360	390	50
# star card
50011	296	394	312	410	50
# neutral activated form
50012	413	375	429	391	50
# victory announcement
50013	4	348	252	421	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# MARIO
# idle normal left
4000	1000	100
# idle normal right
4001	1001	100
# idle super left
4002	1010	100
# idle super right
4003	1011	100
# idle raccoon left
4004	1020	100
# idle raccoon right
4005	1021	100
# idle fire left
4006	1030	100
# idle fire right
4007	1031	100
# walk normal left
4008	1100	100	1000	100
# walk normal right
4009	1101	100	1001	100
# walk super left
4010	11100	100	11101	100	11100	100	1010	100
# walk super right
4011	11110	100	11111	100	11110	100	1011	100
# walk raccoon left
4012	11200	100	11201	100	11200	100	1020	100
# walk raccoon right
4013	11210	100	11211	100	11210	100	1021	100
# walk fire left
4014	11300	100	11301	100	11300	100	1030	100
# walk fire right
4015	11310	100	11311	100	11310	100	1031	100
# jump normal left
4016	1200	100
# jump normal right
4017	1201	100
# jump super left
4018	1210	100
# jump super right
4019	1211	100
# jump raccoon left
4020	1220	100
# jump raccoon right
4021	1221	100
# jump fire left
4022	1230	100
# jump fire right
4023	1231	100
# sprint normal left
4024	13000	100	13001	100
# sprint normal right
4025	13010	100	13011	100
# sprint super left
4026	13100	100	13101	100	13102	100	13101	100
# sprint super right
4027	13110	100	13111	100	13112	100	13111	100
# sprint raccoon left
4028	13200	100	13201	100	13202	100	13201	100
# sprint raccoon right
4029	13210	100	13211	100	13212	100	13211	100
# sprint fire left
4030	13300	100	13301	100	13302	100	13301	100
# sprint fire right
4031	13310	100	13311	100	13312	100	13311	100
# slide normal left
4032	1400	100
# slide normal right
4033	1401	100
# slide super left
4034	1410	100
# slide super right
4035	1411	100
# slide raccoon left
4036	1420	100
# slide raccoon right
4037	1421	100
# slide fire left
4038	1430	100
# slide fire right
4039	1431	100
# crouch super left
4040	1510	100
# crouch super right
4041	1511	100
# crouch racoon left
4042	1520	100
# crouch raccoon right
4043	1521	100
# crouch fire left
4044	1530	100
# crouch fire right
4045	1531	100
# attack raccoon left
4046	13200	60	1620	60	13210	60	1621	60	13200	60
# attack raccoon right
4047	13210	60	1620	60	13200	60	1621	60	13210	60
# attack fire left
4048	16300	60	16301	60	16302	60
# attack fire right
4049	16310	60	16311	60	16312	60
# fly raccoon left
4050	17200	80	17201	80	17200	80	17202	80
# fly raccoon right
4051	17210	80	17211	80	17210	80	17212	80
# death
4052	1800	100
# warping/emerging normal
4053	1900	100
# warping/emerging super
4054	1910	100
# warping/emerging raccoon
4055	1620	100
# warping/emerging fire
4056	1930	100

# BLOCKS
# wood block
6000	2000	100
# gold block
6200	2200	300	2210	100	2220	100	2230	100
# pswitch
6400	2500	100
6401	2501	100
# active power block
6100	2100	200	2110	100	2120	100	2130	100
# inactive power block
6101	2101	100
# cloud block
6300	2400	100
# pipe
5200	3200	100
5201	3201	100
5202	3202	100
5203	3203	100
5204	3204	100
5205	3205	100
5206	3206	100
5207	3207	100

# wood platform anims
5000	3000	100
5001	3001	100
5002	3002	100
5003	3010	100
5004	3011	100
5005	3012	100
# background platform anims
# pink
5100	3100	100
5101	3101	100
5102	3102	100
5103	3103	100
5104	3104	100
5105	3105	100
5106	3106	100
5107	3107	100
5108	3108	100
# blue
5110	3110	100
5111	3111	100
5112	3112	100
5113	3113	100
5114	3114	100
5115	3115	100
5116	3116	100
5117	3117	100
5118	3118	100
# green
5120	3120	100
5121	3121	100
5122	3122	100
5123	3123	100
5124	3124	100
5125	3125	100
5126	3126	100
5127	3127	100
5128	3128	100
# white
5130	3130	100
5131	3131	100
5132	3132	100
5133	3133	100
5134	3134	100
5135	3135	100
5136	3136	100
5137	3137	100
5138	3138	100

# fireball
8000	5000	100	5001	100	5002	100	5003	100
8001	5010	100	5011	100	5012	100	5013	100

# coin
15000	7000	100
15001	7000	100	7001	100	7002	100	7001	100

# powerups
# mushroom
16000	7003	100
# leaf
16001	7004	100
# 1up
16002	7005	100

# BACKGROUND OBJECTS
# bush
7107	4107	100
# cloud
7000	4000	100
7001	4001	100
7002	4002	100
7003	4003	100
7004	4004	100
7005	4005	100
# shrub
7100	4100	100
7101	4101	100
7102	4102	100
7103	4103	100
7104	4104	100
7105	4105	100
7106	4106	100
7307	6100	100
7308	6101	100
7309	6102	100
7310	6103	100
7311	6001	100
# finish area border
7200	6000	100
# finish area background
7201	6001	100

# ENEMIES
# goomba walk
11000	20000	100	20001	100
# goomba, flattened
11001	20002	100
# paragoomba, walk
11002	20003	100	20004	100
# paragoomba, fly
11003	20005	100	20006	100

# koopa, walk left
12000	21000	100	21010	100
# koopa, walk right
12001	21001	100	21011	100
# koopa, dormant
12002	21002	100
# koopa, pinball
12003	21023	80	21003	80	21013	80	21002	80
# koopa, death
12004	21004	100
# koopa paratroopa, fly left
12005	21005	100	21015	100
# koopa paratroopa, fly right
12006	21006	100	21016	100

# piranha plant, left
13000	22002	100
# piranha plant, right
13001	22003	100
# piranha plant, upwards
13002	22000	100
# piranha plant, bite
13003	22001	100	22000	100

# HUD
400	50	100
401	51	100
402	52	100
403	53	100
404	54	100
405	55	100
406	56	100
407	57	100
408	58	100
409	59	100
410	60	100
411	61	100
412	62	100
413	63	100
414	64	100
415	65	100
416	66	100
417	67	100

# roulette
500	50000	100
501	50001	60	50002	60	50012	60	50002	60
502	50003	100
503	50004	100
504	50005	60	50006	60	50012	60	50006	60
505	50007	100
506	50008	100
507	50009	60	50010	60	50012	60	50010	60
508	50011	100
509	50013	100

[ANIMATION_SETS]
# MARIO
0	4000	4001	4002	4003	4004	4005	4006	4007	4008	4009	4010	4011	4012	4013	4014	4015	4016	4017	4018	4019	4020	4021	4022	4023	4024	4025	4026	4027	4028	4029	4030	4031	4032	4033	4034	4035	4036	4037	4038	4039	4040	4041	4042	4043	4044	4045	4046	4047	4048	4049	4050	4051	4052	4053	4054	4055	4056
# BLOCK
1	6000
# GOLD BLOCK
2	6200
# CLOUD BLOCK
63	6300
# POWER BLOCK
3	6100	6101
# PIPE
4	5200	5201	5202	5203	5204	5205	5206	5207
# WOOD PLATFORM
5	5000	5001	5002	5003	5004	5005
# BACKGROUND PLATFORM
6	5100	5101	5102	5103	5104	5105	5106	5107	5108	5110	5111	5112	5113	5114	5115	5116	5117	5118	5120	5121	5122	5123	5124	5125	5126	5127	5128	5130	5131	5132	5133	5134	5135	5136	5137	5138
# BUSH
7	7107
# CLOUD
8	7000	7001	7002	7003	7004	7005
# SHRUB
9	7100	7101	7102	7103	7104	7105	7106	7307	7308	7309	7310	7311
# FIREBALL
10	8000	8001
# GOOMBA
11	11000	11001	11002	11003
# KOOPA
12	12000	12001	12002	12003	12004	12005	12006
# FINISH BORDER
13	7200
# FINISH BACKGROUND
14	7201
# COIN
15	15000	15001
# POWERUPS
16	16000	16001	16002
# PIRANHA PLANT
17	13000	13001	13002	13003
# PSWITCH
18	6400	6401	6200	6101
# ROULETTE
20	500	501	502	503	504	505	506	507	508	509
#HUD
100	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type

# COINS
15	1072	144	15
15	1104	112	15
15	1136	80	15
15	1168	48	15
15	1200	16	15
15	1328	-96	15
15	1344	-96	15
15	1360	-96	15
15	1472	-64	15
15	1488	-64	15
15	1536	-48	15
15	1552	-48	15
15	1568	-48	15
15	1584	-48	15
15	1616	-64	15
15	1632	-64	15
15	1648	-64	15
15	1664	-64	15
15	1696	-32	15
15	1728	-64	15
15	1760	-48	15
15	1808	-80	15
15	1840	-48	15

# BACKGROUND PLATFORM
# type	x	y	ani_set_id	height	length	color
# 1 = PINK, 2 = BLUE, 3 = GREEN, 4 = WHITE
6	272	160	6	5	3	2
6	240	192	6	3	3	1
6	512	128	6	7	4	4
6	464	160	6	5	4	1
6	400	192	6	3	5	3
6	512	208	6	2	6	3
6	1328	144	6	6	7	2
6	1296	176	6	4	7	1
6	1264	208	6	2	7	3
6	2192	96	6	9	3	3
6	2160	192	6	3	3	1
6	1312	-32	6	2	4	1

# BLOCK
1	1504	160	1
1	1520	160	1
1	1568	224	1
1	1584	224	1
1	1584	208	1
1	1600	224	1
1	1600	208	1
1	1600	192	1
1	1664	224	1
1	1664	208	1
1	1664	192	1
1	1680	224	1
1	1680	208	1
1	1696	224	1

2	1968	224	2
2	1984	224	2
2	2000	224	2
2	2016	224	2
2	2032	224	2
2	2048	224	2
2	2064	224	2
2	1984	208	2
2	2000	208	2
2	2016	208	2
2	2032	208	2
2	2048	208	2
2	2000	192	2
2	2016	192	2
2	2032	192	2
18	2048	192	18
2	2112	224	2
2	2128	224	2
2	2112	208	2

1	1408	16	63
1	1424	16	63
1	1440	16	63
1	1456	16	63
1	1488	0	63
1	1504	0	63
1	1520	0	63
1	1536	0	63
1	1552	0	63
1	1568	0	63
1	1584	0	63
1	1600	0	63
1	1616	0	63
1	1632	0	63
1	1648	0	63
1	1664	0	63
1	1680	0	63

# POWER BLOCK

3	176	176	3	0
3	192	176	3	0
3	224	128	3	0
3	240	128	3	1
3	416	144	3	0
3	656	208	3	1
3	704	176	3	0
3	1472	192	3	1
3	1440	-32	3	2

# BUSH
7	160	224	7
7	176	224	7
7	192	224	7
7	672	208	7
7	688	208	7
7	704	208	7
7	720	208	7
7	736	208	7
7	752	208	7
7	1040	208	7
7	1056	208	7
7	1184	224	7
7	1200	224	7
7	1216	224	7
7	1728	224	7
7	1744	224	7
7	1760	224	7


# PIRANHA PLANT
17	360	193	17	1
17	1800	216	17	0
17	1864	200	17	1

# type	x	y	ani_set_id	length
# CLOUD
8	112	96	8	4
8	320	80	8	3
8	640	96	8	3
8	720	128	8	4
8	1168	96	8	3
8	1648	96	8	5
8	2336	112	8	3

# type	x	y	ani_set_id	height	length
# WOOD PLATFORM
5	0	240	5	1	39
5	624	224	5	2	29
5	1152	240	5	1	22
5	1536	240	5	1	5
5	1664	240	5	1	37
5	2272	240	5	1	34

# FINISH BORDER
13	2480	-256	13	31

# FINISH AREA
14	2496	-256	14	31	20

# type	x	y	ani_set_id	data
# SHRUB
9	16	224	9	2	4	4	4	5	6	4	3
9	16	208	9	2	5	6	4	3	2	5	1
9	16	192	9	0	6	3	0	1	0	1
9	32	176	9	0	1
9	816	208	9	0	4	4	4	4	4	4	3	0	6	4	3
9	832	192	9	2	5	6	5	6	4	3	12	2	5	1
9	832	176	9	0	1	0	6	3	0	1	12	0	1
9	880	160	9	0	1
9	1888	224	9	0	6	4	3
9	1904	208	9	2	5	1
9	1904	192	9	0	1
9	2384	224	9	2	4	4	4	4	3
9	2384	208	9	2	4	4	4	5	1
9	2384	192	9	2	4	4	4	3
9	2384	176	9	0	6	4	4	3
9	2400	160	9	0	6	4	3
9	2416	144	9	2	4	3
9	2416	128	9	2	5	1
9	2416	112	9	0	1
9	2576	224	9	7	8	11	11	10
9	2592	208	9	9	11	7	8
9	2592	192	9	9	11	10
9	2592	176	9	9	7	8
9	2592	160	9	9	10
9	2592	144	9	7	8
9	2752	224	9	7	8	10
9	2768	208	9	9	10
9	2768	192	9	7	8

# GOOMBA
11	224	223	11	-1	-1	0
11	528	223	11	-1	-1	0
11	816	207	11	-1	-1	0
11	864	207	11	-1	-1	0
11	928	207	11	672	1072	1

# KOOPA
12	576	175	12	-1	-1	0
12	1328	117	12	-1	9999	1	1152	0
12	1376	117	12	-1	9999	1	1152	0
12	1424	117	12	-1	9999	1	1152	0
12	1472	213	12	-1	-1	0
12	2112	181	12	2104	2120	0

# ROULETTE
20	2672	160	20

# MARIO
0	0	208	0

# type	x	y	ani_set_id	height	type	IsWarpPipe
# PIPE
4	352	192	4	3	0	0
4	1792	208	4	2	0	0
4	1856	192	4	3	0	0
4	2272	192	4	3	0	0
4	2272	-16	4	10	0	1
19	2274	16	0	28	8	3	0	0
4	2336	208	4	2	0	0

1	2272	192	1
1	2288	192	1
1	2272	128	1
1	2288	128	1

100	0	0	100
